timestamp;energy_used;solar_produced
1579140000;3.352;0
1579143600;3.174;0
1579147200;1.443;0
1579150800;1.732;0
1579154400;3.678;0
1579158000;5;0.02
1579161600;4.02;0.78
1579165200;1.317;1.7
1579168800;1.24;1.79
1579172400;2.106;1.47
1579176000;3.063;1.5
1579179600;2.073;1.31
1579183200;1.2;0.95
1579186800;1.166;0.18
1579190400;2.534;0
1579194000;3.125;0
1579197600;2.621;0
1579201200;4.42;0
1579204800;3.3;0
1579208400;1.829;0
1579212000;1.517;0
1579215600;1.411;0
1579219200;3.197;0
1579222800;3.206;0
1579226400;1.534;0
1579230000;1.418;0
1579233600;2.039;0
1579237200;3.331;0
1579240800;4.282;0
1579244400;2.502;0
1579248000;1.247;0.13
1579251600;4.441;0.18
1579255200;3.151;0.09
1579258800;3.028;0.21
1579262400;1.45;0.36
1579266000;2.003;0.52
1579269600;3.558;0.93
1579273200;3.475;0.19
1579276800;1.988;0
1579280400;2.623;0
1579284000;3.408;0
1579287600;3.508;0
1579291200;2.424;0
1579294800;1.357;0
1579298400;1.724;0
1579302000;2.95;0
1579305600;3.232;0
1579309200;2.163;0
1579312800;1.617;0
1579316400;1.949;0
1579320000;3.353;0
1579323600;3.239;0
1579327200;2.606;0
1579330800;2.501;0
1579334400;3.283;0.56
1579338000;3.18;1.45
1579341600;1.93;1.17
1579345200;1.496;1.09
1579348800;1.558;1
1579352400;3.131;0.74
1579356000;3.176;0.73
1579359600;1.689;0.44
1579363200;1.58;0
1579366800;2.136;0
1579370400;3.22;0
1579374000;2.869;0
1579377600;1.714;0
1579381200;1.451;0
1579384800;3.436;0
1579388400;3.658;0
1579392000;2.137;0
1579395600;1.536;0
1579399200;1.842;0
1579402800;3.461;0
1579406400;3.405;0
1579410000;1.611;0
1579413600;1.469;0
1579417200;2.707;0.04
1579420800;4.221;0.74
1579424400;3.652;1.52
1579428000;3.466;1.83
1579431600;1.657;1.86
1579435200;2.272;1.61
1579438800;3.052;1.31
1579442400;3.083;0.81
1579446000;3.324;0.3
1579449600;3.164;0
1579453200;1.665;0
1579456800;1.793;0
1579460400;3.208;0
1579464000;3.355;0
1579467600;2.149;0
1579471200;2.307;0
1579474800;3.107;0
1579478400;3.466;0
1579482000;1.896;0
1579485600;2.191;0
1579489200;2.907;0
1579492800;3.528;0
1579496400;3.738;0
1579500000;2.774;0
1579503600;3.276;0.02
1579507200;3.966;0.26
1579510800;2.628;0.64
1579514400;1.196;0.96
1579518000;1.655;1.15
1579521600;2.649;0.93
1579525200;3.299;0.74
1579528800;1.785;0.42
1579532400;1.591;0.1
1579536000;2.081;0
1579539600;3.548;0
1579543200;2.936;0
1579546800;1.626;0
1579550400;2.737;0
1579554000;3.779;0
1579557600;3.298;0
1579561200;1.394;0
1579564800;1.313;0
1579568400;3.069;0
1579572000;3.268;0
1579575600;2.089;0
1579579200;2.035;0
1579582800;2.631;0
1579586400;4.635;0
1579590000;4.423;0
1579593600;1.253;0.21
1579597200;1.89;0.61
1579600800;3.506;0.91
1579604400;3.087;1.02
1579608000;1.509;0.87
1579611600;1.746;0.44
1579615200;2.982;0.23
1579618800;3.145;0.05
1579622400;2.995;0
1579626000;1.796;0
1579629600;3.889;0
1579633200;3.808;0
1579636800;2.701;0
1579640400;1.848;0
1579644000;1.914;0
1579647600;3.56;0
1579651200;3.292;0
1579654800;1.369;0
1579658400;2.132;0
1579662000;2.847;0
1579665600;3.596;0
1579669200;2.477;0
1579672800;3.095;0
1579676400;4.366;0.02
1579680000;3.272;0.15
1579683600;3.197;0.25
1579687200;1.368;0.58
1579690800;1.165;0.53
1579694400;2.608;0.51
1579698000;4.129;0.28
1579701600;1.988;0.15
1579705200;2.152;0.02
1579708800;2.725;0
1579712400;3.727;0
1579716000;2.62;0
1579719600;2.819;0
1579723200;1.97;0
1579726800;3.075;0
1579730400;3.395;0
1579734000;1.479;0
1579737600;1.75;0
1579741200;2.397;0
1579744800;3.314;0
1579748400;2.522;0
1579752000;1.581;0
1579755600;1.598;0
1579759200;4.693;0
1579762800;4.896;0
1579766400;2.58;0.08
1579770000;1.449;0.29
1579773600;2.822;0.63
1579777200;3.466;1.76
1579780800;1.864;1.47
1579784400;1.461;0.64
1579788000;2.09;0.36
1579791600;3.833;0.13
1579795200;4.396;0
1579798800;1.969;0
1579802400;2.285;0
1579806000;3.463;0
1579809600;2.914;0
1579813200;2.767;0
1579816800;2.388;0
1579820400;3.475;0
1579824000;3.546;0
1579827600;2.098;0
1579831200;1.906;0
1579834800;2.852;0
1579838400;3.846;0
1579842000;3.887;0
1579845600;3.096;0
1579849200;3.185;0
1579852800;4.888;0.15
1579856400;4.775;0.83
1579860000;1.732;2.08
1579863600;1.511;1.12
1579867200;2.95;0.57
1579870800;3.365;0.51
1579874400;2.173;0.2
1579878000;1.805;0.04
1579881600;2.186;0
1579885200;4.201;0
1579888800;2.823;0
1579892400;1.416;0
1579896000;2.763;0
1579899600;3.748;0
1579903200;3.339;0
1579906800;1.968;0
